legislation_id,title,document_type,proposed_domain,proposed_subdomain,classification_confidence,classification_reasons,scope_status,pdf_match_status,local_pdf,text_layer_status,ocr_required,official_gazette_date,official_gazette_number,source_url,human_domain,human_subdomain,validity_status,approved_for_active_rag,reviewed_by,review_notes
22979,YOLA ELVERİŞLİLİK MUAYENESİ VE MUAYENE SONUCU BELİRLENEN EKSİKLİKLERE İLİŞKİN KUSUR GRUPLARI YÖNERGESİ,Yönerge,road_transport,general,0.95,road_transport: 'yola elverişlilik muayenesi' (+9),review_required,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Yönerge/22979_YOLA ELVERİŞLİLİK MUAYENESİ VE MUAYENE SONUCU BELİRLENEN EKSİKLİKLERE.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/22979,,,needs_verification,false,,
23169,KARAYOLU DÜZENLEME GENEL MÜDÜRLÜĞÜ EMRİYLE UBAK İZİN BELGELERİ DAĞITIM ESASLARI YÖNERGESİ,Yönerge,road_transport,international_permissions,0.98,road_transport: 'karayolu düzenleme genel müdürlüğü' (+9) | road_transport: 'ubak izin' (+7),review_required,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Yönerge/23169_KARAYOLU DÜZENLEME GENEL MÜDÜRLÜĞÜ EMRİYLE UBAK İZİN BELGELERİ DAĞITI.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/23169,,,needs_verification,false,,
23424,KARAYOLUYLA TEHLİKELİ MADDE TAŞIYAN ARAÇ ŞOFÖRLERİNE YÖNELİK MESLEKİ YETERLİLİK EĞİTİMİ YÖNERGESİ,Yönerge,road_transport,dangerous_goods,0.97,road_transport: 'araç şoför' (+5) | road_transport: 'mesleki yeterlilik' (+5),review_required,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Yönerge/23424_KARAYOLUYLA TEHLİKELİ MADDE TAŞIYAN ARAÇ ŞOFÖRLERİNE YÖNELİK MESLEKİ.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/23424,,,needs_verification,false,,
23597,2011/KUGM-17/ARAÇ MUAYENE GENELGESİ,Kurum Genelgesi,road_transport,vehicle_inspection,0.92,road_transport: 'araç muayene' (+8),review_required,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Kurum Genelgesi/23597_2011KUGM-17ARAÇ MUAYENE GENELGESİ.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/23597,,,needs_verification,false,,
23657,KARA ULAŞTIRMASI GENEL MÜDÜRLÜĞÜNÜN 2009/KUGM-19/EŞYA SAYILI GENELGESİ,Kurum Genelgesi,road_transport,general,0.95,road_transport: 'kara ulaştırması genel müdürlüğü' (+9),review_required,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Kurum Genelgesi/23657_KARA ULAŞTIRMASI GENEL MÜDÜRLÜĞÜNÜN 2009KUGM-19EŞYA SAYILI GENELGESİ.pdf,available,False,0001-01-01T00:00:00,,https://kms.kaysis.gov.tr/Home/Goster/23657,,,needs_verification,false,,
31817,ORMAN YANGINLARININ ÖNLENMESİ VE SÖNDÜRÜLMESİNDE GÖREVLİLERİN GÖRECEKLERİ İŞLER HAKKINDA YÖNETMELİK,Bakanlar Kurulu Yönetmeliği,unknown,unknown,0.0,Başlıkta güvenilir bir alan göstergesi bulunamadı.,review_required,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Bakanlar Kurulu Yönetmeliği/31817_ORMAN YANGINLARININ ÖNLENMESİ VE SÖNDÜRÜLMESİNDE GÖREVLİLERİN GÖRECEK.pdf,available,False,1976-10-09T00:00:00,15729,https://kms.kaysis.gov.tr/Home/Goster/31817,,,needs_verification,false,,
33024,DIŞ HATLARA SEFER YAPAN GEMİLERE GİRİŞ VE ÇIKIŞIN DÜZENLENMESİ HAKKINDA YÖNETMELİK,Bakanlar Kurulu Yönetmeliği,maritime,maritime,0.9,maritime: 'gemi' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Bakanlar Kurulu Yönetmeliği/33024_DIŞ HATLARA SEFER YAPAN GEMİLERE GİRİŞ VE ÇIKIŞIN DÜZENLENMESİ HAKKIN.pdf,available,False,1961-11-18T00:00:00,10961,https://kms.kaysis.gov.tr/Home/Goster/33024,,,needs_verification,false,,
33344,KARAYOLU SINIR KAPILARI İLE ULUSLARARASI TRAFİĞE AÇIK HAVA LİMANLARINDA GÜVENLİĞİN VE BU YERLERE HİZMET VEREN KURULUŞLAR ARASINDA İŞBİRLİĞİ VE EŞGÜDÜM SAĞLANMASI HAKKINDA YÖNETMELİK,Bakanlar Kurulu Yönetmeliği,aviation,aviation,0.64,aviation: 'hava liman' (+7) | Birden fazla ulaşım alanı işareti bulundu; insan kapsam kontrolü zorunlu (maritime=6).,review_required,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Bakanlar Kurulu Yönetmeliği/33344_KARAYOLU SINIR KAPILARI İLE ULUSLARARASI TRAFİĞE AÇIK HAVA LİMANLARIN.pdf,available,False,1979-07-14T00:00:00,16696,https://kms.kaysis.gov.tr/Home/Goster/33344,,,needs_verification,false,,
35430,GEMİ SÖKÜM YÖNETMELİĞİ,Kurum Yönetmeliği,maritime,maritime,0.9,maritime: 'gemi' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Kurum Yönetmeliği/35430_GEMİ SÖKÜM YÖNETMELİĞİ.pdf,available,False,2004-03-08T00:00:00,25396,https://kms.kaysis.gov.tr/Home/Goster/35430,,,needs_verification,false,,
35431,GEMİLERDEN ATIK ALINMASI VE ATIKLARIN KONTROLÜ YÖNETMELİĞİ,Kurum Yönetmeliği,maritime,maritime,0.9,maritime: 'gemi' (+7),out_of_scope,matched,Ulaştırma ve Altyapı Bakanlığı/Ulaştırma ve Altyapı Bakanlığı/Kurum Yönetmeliği/35431_GEMİLERDEN ATIK ALINMASI VE ATIKLARIN KONTROLÜ YÖNETMELİĞİ.pdf,available,False,2004-12-26T00:00:00,25682,https://kms.kaysis.gov.tr/Home/Goster/35431,,,needs_verification,false,,
