belgeBeyanID,belgeBeyanAdi,belgeTur,istenenmi
341,LİSE DİPLOMASI (ORTAÖĞRETİM),DİPLOMA,True
346,İLKOKUL DİPLOMASI,DİPLOMA,True
348,İLKÖĞRETİM DİPLOMASI,DİPLOMA,True
351,LİSANS DİPLOMASI,DİPLOMA,True
354,ÖN LİSANS DİPLOMASI,DİPLOMA,True
358,YÜKSEK LİSANS DİPLOMASI,DİPLOMA,True
337,İNCELEME TUTANAĞI,TUTANAK,True
16875,OLAY YERİ TUTANAĞI,TUTANAK,True
1685,TÜRKİYE ATOM ENERJİSİ KURUMU LİSANS BELGESİ,LİSANS,True
13367,AKARYAKIT DAĞITICI LİSANSI,LİSANS,True
1036,TAŞIT KARTI İŞLEM BAŞVURU FORMU,BAŞVURU/TALEP FORMU,True
1210,GEMİ VEYA SU ARACI İNŞA BAŞVURU BELGESİ,BAŞVURU/TALEP FORMU,True
2053,KARA ULAŞTIRMASI GENEL MÜDÜRLÜĞÜ YETKİ BELGESİ BAŞVURU FORMU,BAŞVURU/TALEP FORMU,True
16365,KIYI TESİSİ TEHLİKELİ MADDE UYGUNLUK BELGESİ BAŞVURU FORMU,BAŞVURU/TALEP FORMU,True
16367,DOLU KONTEYNERLERİN BRÜT AĞIRLIKLARININ TESPİTİ İÇİN   YETKİ BELGESİ BAŞVURU FORMU,BAŞVURU/TALEP FORMU,True
16451,EMNİYET SERTİFİKASI BAŞVURU FORMU,BAŞVURU/TALEP FORMU,True
16475,DEMİRYOLU TREN İŞLETMECİLERİ YETKİ BELGESİ BAŞVURU FORMU,BAŞVURU/TALEP FORMU,True
16524,CİMER BAŞVURU FORMU,BAŞVURU/TALEP FORMU,True
16629,DİĞER DEMİRYOLU İŞLETMECİLERİ YETKİ BELGESİ BAŞVURU FORMU,BAŞVURU/TALEP FORMU,True
16643,EMNİYET YETKİLENDİRMESİ BAŞVURU FORMU,BAŞVURU/TALEP FORMU,True
16757,GEMİ VEYA SU ARACI TADİLAT BAŞVURU BELGESİ,BAŞVURU/TALEP FORMU,True
16916,SÜREKLİ ÖZET KAYIT BELGESİ (CSR) BAŞVURU FORMU,BAŞVURU/TALEP FORMU,True
16998,DENİZ TİCARETİ GÖZETİM HİZMETLERİ BAŞVURU DİLEKÇE FORMU,BAŞVURU/TALEP FORMU,True
