hizmetId,hizmetAd,kurumHiyerarsik,detail_url
37290,Küresel Deniz Tehlike ve Güvenlik Sistemi (GMDSS) Cihazları Kıyıda Bakım Yetki Belgesinin Verilmesi,ULAŞTIRMA VE ALTYAPI BAKANLIĞI > BAKAN YARDIMCILIĞI (SN. SELİM DURSUN) > DENİZCİLİK GENEL MÜDÜRLÜĞÜ > ACİL DURUM KOORDİNASYON VE HABERLEŞME DAİRE BAŞKANLIĞI,https://envanter.kaysis.gov.tr/HizmetDetay.aspx?ID=37290
40778,Hava ve deniz vasıtaları ile PLB (Şahsi Acil Durum Yer Belirten Cihaz) sahipli şahıslara Arama Kurtarma Hizmeti verilmesinin koordine edilmesi.,ULAŞTIRMA VE ALTYAPI BAKANLIĞI > BAKAN YARDIMCILIĞI (SN. SELİM DURSUN) > DENİZCİLİK GENEL MÜDÜRLÜĞÜ > ACİL DURUM KOORDİNASYON VE HABERLEŞME DAİRE BAŞKANLIĞI,https://envanter.kaysis.gov.tr/HizmetDetay.aspx?ID=40778
37105,Gemi Söküm Yetki Belgesinin Verilmesi,ULAŞTIRMA VE ALTYAPI BAKANLIĞI > BAKAN YARDIMCILIĞI (SN. DURMUŞ ÜNÜVAR) > TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜ > GENEL MÜDÜR YARDIMCILIĞI 1 > TERSANELER DAİRE BAŞKANLIĞI,https://envanter.kaysis.gov.tr/HizmetDetay.aspx?ID=37105
37106,"Tersane, Tekne İmal, Çekek Yerleri Yer Tespitinin Yapılması",ULAŞTIRMA VE ALTYAPI BAKANLIĞI > BAKAN YARDIMCILIĞI (SN. DURMUŞ ÜNÜVAR) > TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜ > GENEL MÜDÜR YARDIMCILIĞI 1 > TERSANELER DAİRE BAŞKANLIĞI,https://envanter.kaysis.gov.tr/HizmetDetay.aspx?ID=37106
37108,Gemi Geri Dönüşüm Tesis Dışında (Mahallinde Söküm) Gemi Geri Dönüşüm İzni Verilmesi,ULAŞTIRMA VE ALTYAPI BAKANLIĞI > BAKAN YARDIMCILIĞI (SN. DURMUŞ ÜNÜVAR) > TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜ > GENEL MÜDÜR YARDIMCILIĞI 1 > TERSANELER DAİRE BAŞKANLIĞI,https://envanter.kaysis.gov.tr/HizmetDetay.aspx?ID=37108
37119,"Tersane, Tekne İmal Yeri ve Çekek Yerleriyle İlgili Kira, Devir ve Tüzel Kişilik Değişiklikleri Taleplerinin Değerlendirilerek Görüş Verilmesi",ULAŞTIRMA VE ALTYAPI BAKANLIĞI > BAKAN YARDIMCILIĞI (SN. DURMUŞ ÜNÜVAR) > TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜ > GENEL MÜDÜR YARDIMCILIĞI 1 > TERSANELER DAİRE BAŞKANLIĞI,https://envanter.kaysis.gov.tr/HizmetDetay.aspx?ID=37119
37120,"İlan Edilen Tersane, Tekne İmal Yeri ve  Çekek Yeri Tahsislerine Başvurularının Alınması, Değerlendirilmesi",ULAŞTIRMA VE ALTYAPI BAKANLIĞI > BAKAN YARDIMCILIĞI (SN. DURMUŞ ÜNÜVAR) > TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜ > GENEL MÜDÜR YARDIMCILIĞI 1 > TERSANELER DAİRE BAŞKANLIĞI,https://envanter.kaysis.gov.tr/HizmetDetay.aspx?ID=37120
37121,"Tersane, Tekne İmal ve Çekek Yerleri İmar Planı Taleplerine Görüş Verilmesi",ULAŞTIRMA VE ALTYAPI BAKANLIĞI > BAKAN YARDIMCILIĞI (SN. DURMUŞ ÜNÜVAR) > TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜ > GENEL MÜDÜR YARDIMCILIĞI 1 > TERSANELER DAİRE BAŞKANLIĞI,https://envanter.kaysis.gov.tr/HizmetDetay.aspx?ID=37121
37123,"Tersane, Tekne İmal ve Çekek Yeri Organizasyonu ve Yerleşim Planının Onaylanması",ULAŞTIRMA VE ALTYAPI BAKANLIĞI > BAKAN YARDIMCILIĞI (SN. DURMUŞ ÜNÜVAR) > TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜ > GENEL MÜDÜR YARDIMCILIĞI 1 > TERSANELER DAİRE BAŞKANLIĞI,https://envanter.kaysis.gov.tr/HizmetDetay.aspx?ID=37123
37127,Tersane Tekne İmal Yeri ve Çekek Yerlerinin Denetlenmesi,ULAŞTIRMA VE ALTYAPI BAKANLIĞI > BAKAN YARDIMCILIĞI (SN. DURMUŞ ÜNÜVAR) > TERSANELER VE KIYI YAPILARI GENEL MÜDÜRLÜĞÜ > GENEL MÜDÜR YARDIMCILIĞI 1 > TERSANELER DAİRE BAŞKANLIĞI,https://envanter.kaysis.gov.tr/HizmetDetay.aspx?ID=37127
