mevzuatId,turId,sayi,ad,rgSayi,rgTarih,tur,detail_url,local_archive
33024,23,5/1806,DIŞ HATLARA SEFER YAPAN GEMİLERE GİRİŞ VE ÇIKIŞIN DÜZENLENMESİ HAKKINDA YÖNETMELİK,10961                                             ,1961-11-18T00:00:00,Bakanlar Kurulu Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,https://kms.kaysis.gov.tr/Home/Goster/33024,
33344,23,7/17694,KARAYOLU SINIR KAPILARI İLE ULUSLARARASI TRAFİĞE AÇIK HAVA LİMANLARINDA GÜVENLİĞİN VE BU YERLERE HİZMET VEREN KURULUŞLAR ARASINDA İŞBİRLİĞİ VE EŞGÜDÜM SAĞLANMASI HAKKINDA YÖNETMELİK,16696                                             ,1979-07-14T00:00:00,Bakanlar Kurulu Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,https://kms.kaysis.gov.tr/Home/Goster/33344,
31817,23,7/12520,ORMAN YANGINLARININ ÖNLENMESİ VE SÖNDÜRÜLMESİNDE GÖREVLİLERİN GÖRECEKLERİ İŞLER HAKKINDA YÖNETMELİK,15729                                             ,1976-10-09T00:00:00,Bakanlar Kurulu Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,https://kms.kaysis.gov.tr/Home/Goster/31817,
48747,23,8/4018,"SİVİL HAVA MEYDANLARI, LİMANLAR VE SINIR KAPILARINDA GÖREV VE HİZMETLERİN YÜRÜTÜLMESİ HAKKINDA YÖNETMELİK",17597                                             ,1982-02-06T00:00:00,Bakanlar Kurulu Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,https://kms.kaysis.gov.tr/Home/Goster/48747,
170049,20,,"ARAÇ MUAYENE İSTASYONLARININ AÇILMASI, İŞLETİLMESİ VE ARAÇ MUAYENESİ HAKKINDA YÖNETMELİK",31356                                             ,2021-01-06T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/170049,
41739,20,,ARAÇLARIN YÜKLENMESİNE İLİŞKİN ÖLÇÜ VE USULLER İLE TARTI VE BOYUT ÖLÇÜM TOLERANSLARI HAKKINDA YÖNETMELİK,28461                                             ,2012-11-08T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/41739,
44311,20,,ARAŞTIRMA GELİŞTİRME PROJELERİNİN DESTEKLENMESİNE İLİŞKİN YÖNETMELİK,29280                                             ,2015-02-27T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/44311,
43829,20,,BAĞLAMA KÜTÜĞÜ UYGULAMA YÖNETMELİĞİ,29130                                             ,2014-09-25T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/43829,
199973,20,,BAKIMDAN SORUMLU KURULUŞ (ECM) SERTİFİKASYON YÖNETMELİĞİ,32386                                             ,2023-12-01T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/199973,
37230,20,,BALIKÇI GEMİLERİNİN EMNİYETİ HAKKINDA YÖNETMELİK,26089                                             ,2006-02-23T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/37230,
179807,20,,BOZULABİLİR GIDA MADDELERİNİN TAŞIMACILIĞINDA KULLANILACAK ÖZEL EKİPMANLAR HAKKINDA YÖNETMELİK,31529                                             ,2021-07-02T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/179807,
37524,20,,DALABİLİR DENİZ ARAÇLARI HAKKINDA YÖNETMELİK,26207                                             ,2006-06-23T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/37524,
199108,20,,DEMİRYOLU ALTYAPI ERİŞİM VE KAPASİTE TAHSİS YÖNETMELİĞİ,32323                                             ,2023-09-28T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/199108,
57419,20,,DEMİRYOLU ARAÇLARI TESCİL VE SİCİL YÖNETMELİĞİ,29418                                             ,2015-07-16T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/57419,
63601,20,,DEMİRYOLU ARAÇLARI TİP ONAY YÖNETMELİĞİ,29536                                             ,2015-11-18T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/63601,
95355,20,,DEMİRYOLU EĞİTİM VE SINAV MERKEZİ YÖNETMELİĞİ,29935                                             ,2016-12-31T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/95355,
95356,20,,DEMİRYOLU EMNİYET KRİTİK GÖREVLER YÖNETMELİĞİ,29935                                             ,2016-12-31T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/95356,
63836,20,,DEMİRYOLU EMNİYET YÖNETMELİĞİ,29537                                             ,2015-11-19T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/63836,
