record_order,title,pdf_url,local_file,source_page,source_filter,scope_assessment
1,KARAYOLU YAPIMI AMAÇLI KAMULAŞTIRMALARDA HAZİNE TAŞINMAZLARININ TRAMPASI HAKKINDA YÖNETMELİK,https://www.uab.gov.tr/media/iejpzo3a/karayolu-yapimi-amaçli-kamulaştirmalarda-hazine-taşinmazlarinin-trampasi-hakkinda-yoenetmelik.pdf,uab_pdf/01_uab_mevzuat.pdf,4,Karayolu,kgm_karayolu_altyapisi_ve_trafik
2,HAVA TRAFİK HİZMETLERİ İLE BAĞLANTILI EMNİYET OLAYLARININ RAPOR EDİLMESİ VE DEĞERLENDİRİLMESİNE DAİR YÖNETMELİK (SHY 65-02),https://www.uab.gov.tr/media/sovk4c0f/hava-trafik-hizmetleri-ile-bağlantili-emniyet-olaylarinin-rapor-edilmesi-ve-değerlendirilmesine-dair-yoenetmelik-shy-65-02.pdf,uab_pdf/02_uab_mevzuat.pdf,4,Karayolu,kgm_karayolu_altyapisi_ve_trafik
3,KARAYOLU ALTYAPISI GÜVENLİK YÖNETİMİ HAKKINDA YÖNETMELİK,https://www.uab.gov.tr/media/lczj5l4z/karayolu-altyapisi-guevenlik-yoenetimi-hakkinda-yoenetmelik.pdf,uab_pdf/03_uab_mevzuat.pdf,4,Karayolu,kgm_karayolu_altyapisi_ve_trafik
4,DEVLET HAVA ARAÇLARI HAKKINDA YÖNETMELİK (SHY-DEVLET),https://www.uab.gov.tr/media/3momahmw/devlet-hava-araçlari-hakkinda-yoenetmelik-shy-devlet.pdf,uab_pdf/04_uab_mevzuat.pdf,4,Karayolu,kapsam_disi_havacilik
5,KARAYOLLARI TRAFİK YÖNETMELİĞİ,https://www.uab.gov.tr/media/aqgbh4kp/karayollari-trafik-yoenetmeliği.pdf,uab_pdf/05_uab_mevzuat.pdf,4,Karayolu,kgm_karayolu_altyapisi_ve_trafik
6,KARAYOLLARI TRAFİK KANUNU,https://www.uab.gov.tr/media/ht0cb5st/karayollari-trafik-kanunu.pdf,uab_pdf/06_uab_mevzuat.pdf,4,Karayolu,kgm_karayolu_altyapisi_ve_trafik
7,KARAYOLU TAŞIMA KANUNU,https://www.uab.gov.tr/media/gbabqkkn/karayolu-taşima-kanunu.pdf,uab_pdf/07_uab_mevzuat.pdf,4,Karayolu,kgm_karayolu_altyapisi_ve_trafik
8,KARAYOLU TAŞIMA YÖNETMELİĞİ,https://www.uab.gov.tr/media/potlbwur/karayolu-taşima-yoenetmeliği.pdf,uab_pdf/08_uab_mevzuat.pdf,4,Karayolu,kgm_karayolu_altyapisi_ve_trafik
9,2022/11-SAYISAL TAKOGRAF SİSTEMİ HAKKINDA GENELGE,https://www.uab.gov.tr/media/sq1mjbiq/2022_11-sayisal-takograf-sistemi-hakkinda-genelge.pdf,uab_pdf/09_uab_mevzuat.pdf,4,Karayolu,karayolu_tasimaciligi
10,2020/10-COVID-19 SALGINI Nedeniyle Araç Muayenelerine İlişkin Genelge,https://www.uab.gov.tr/media/jftd4aqf/2020_10-covid-19-salgini-nedeniyle-araç-muayenelerine-ilişkin-genelge.pdf,uab_pdf/10_uab_mevzuat.pdf,4,Karayolu,karayolu_tasimaciligi
